Date,Category,Rejected Cat 1,Rejected Cat 2,Puzzle,Letters,Prize,Win?,Notes,Season
"October 27, 2014",Phrase,NA,NA,POINT THE WAY,P C M O,"$100,000",No,NA,32
"October 28, 2014",Thing,NA,NA,BUSHY TAIL,C M H O,"$32,000",Yes,NA,32
"October 29, 2014",Thing,NA,NA,UNIQUE WORK OF ART,Q K W O,"$32,000",Yes,NA,32
"October 30, 2014",Thing,NA,NA,BAGGAGE FEE,H M C O G,"$32,000",Yes,NA,32
"October 31, 2014",Phrase,NA,NA,A PIECE OF THE PIE,B M F A,"$32,000",No,NA,32
"November 3, 2014",Food & Drink,NA,NA,RIPE AVOCADO,C B P I,"$32,000",No,NA,32
"November 4, 2014",People,NA,NA,FAMOUS DUO,K M P O B,"$32,000",Yes,NA,32
"November 5, 2014",Phrase,NA,NA,BACK TO SQUARE ONE,Q B K O,"$32,000",Yes,NA,32
"November 6, 2014",Person,NA,NA,YOUNG ADULT,C M G A,"$32,000",No,NA,32
"November 7, 2014",Phrase,NA,NA,LIKE WALKING ON AIR,P G M O,"$40,000",No,NA,32
"November 10, 2014",Person,NA,NA,AUTHORITY FIGURE,D H C A M,"$32,000",No,NA,32
"November 11, 2014",What Are You Doing?,NA,NA,MOVING QUICKLY,G M D A,"$45,000",No,NA,32
"November 12, 2014",Food & Drink,NA,NA,PIZZA TOPPING,H G P A,"$32,000",Yes,NA,32
"November 13, 2014",Person,NA,NA,BASHFUL KID,M G D A,"$32,000",No,NA,32
"November 14, 2014",Phrase,NA,NA,GO FOR A JOG,M C D A,"$32,000",No,NA,32
"November 17, 2014",Thing,NA,NA,MAJOR UPGRADE,D C M O,"$32,000",No,NA,32
"November 18, 2014",Food & Drink,NA,NA,FROZEN WAFFLES,F W Z O,Chevy Camaro,Yes,NA,32
"November 19, 2014",Thing,NA,NA,EXCITING SUBJECT,B C D I,"$32,000",Yes,NA,32
"November 20, 2014",Things,NA,NA,OFFICE PRODUCTS,C B M A,"$32,000",Yes,NA,32
"November 21, 2014",Thing,NA,NA,YOGA POSE,H B D O,"$40,000",Yes,NA,32
"November 24, 2014",Phrase,NA,NA,THE WHOLE BALL OF WAX,D C F O M,"$32,000",Yes,NA,32
"November 25, 2014",Thing,NA,NA,BIG BEAR HUG,C D M I,"$40,000",No,NA,32
"November 26, 2014",Phrase,NA,NA,WATCH OUT BELOW,C D M A,"$32,000",No,NA,32
"November 27, 2014",Phrase,NA,NA,A BABE IN THE WOODS,M D H O,"$32,000",No,NA,32
"November 28, 2014",Place,NA,NA,NARROW PATHWAY,C D P O,"$45,000",No,NA,32
"December 1, 2014",Place,NA,NA,BUSY HARBOR,C H K A,"$32,000",Yes,NA,32
"December 2, 2014",Food & Drink,NA,NA,HANDPICKED FRUIT,F P C A,"$40,000",No,NA,32
"December 3, 2014",Thing,NA,NA,HEAVY PACKAGE,D M P I,"$32,000",No,NA,32
"December 4, 2014",Things,NA,NA,FUZZY EARMUFFS,D M C A,"$32,000",No,NA,32
"December 5, 2014",Person,NA,NA,FIELD HOCKEY GOALIE,P H D O,"$32,000",No,NA,32
"December 8, 2014",Things,NA,NA,GUITAR CHORDS,C W D A,"$32,000",Yes,NA,32
"December 9, 2014",Thing,NA,NA,AVERAGE PRICE,Y M C A,"$40,000",Yes,NA,32
"December 10, 2014",Thing,NA,NA,QUILTED BLANKET,C D H A,"$32,000",Yes,NA,32
"December 11, 2014",Event,NA,NA,HISTORIC VOYAGE,M P C A,Pair of Ford Flexes,No,NA,32
"December 12, 2014",Thing,NA,NA,EXIT POLL,P X D I,"$45,000",Yes,NA,32
"December 15, 2014",Thing,NA,NA,LATE-NIGHT INFOMERCIAL,D H P A,Ford Flex,No,NA,32
"December 16, 2014",Things,NA,NA,BAY WINDOWS,C D P A,"$40,000",No,NA,32
"December 17, 2014",Phrase,NA,NA,ABOVE THE CLOUDS,M D P A C,"$45,000",Yes,NA,32
"December 18, 2014",On the Map,NA,NA,AUGUSTA GEORGIA,M P D A,"$32,000",Yes,NA,32
"December 19, 2014",Thing,NA,NA,MONTHLY BUDGET,C K M A,"$32,000",No,NA,32
"December 22, 2014",Things,NA,NA,GAME HIGHLIGHTS,B G M I,"$32,000",Yes,NA,32
"December 23, 2014",Person,NA,NA,HUMBLE HERO,D H W U,"$32,000",No,NA,32
"December 24, 2014",Phrase,NA,NA,WEALTH OF IDEAS,M C G I,"$32,000",No,NA,32
"December 25, 2014",Place,NA,NA,BACK OFFICE,M P B A,"$50,000",No,NA,32
"December 26, 2014",Thing,NA,NA,WOODEN GAVEL,H C B A,"$32,000",No,NA,32
"December 29, 2014",Show Biz,NA,NA,BROADWAY,P M D O,BMW X3,Yes,NA,32
"December 30, 2014",Things,NA,NA,FADED BLUE JEANS,C G P I,"$32,000",No,NA,32
"December 31, 2014",Thing,NA,NA,BUZZWORD,D H C O,"$32,000",No,NA,32
"January 1, 2015",Thing,NA,NA,ROUSING APPLAUSE,C G D O,"$40,000",No,NA,32
"January 2, 2015",Thing,NA,NA,WEDDING BOUQUET,P H G I,"$40,000",Yes,NA,32
"January 5, 2015",Event,NA,NA,EXCHANGE OF VOWS,M D F O H,"$32,000",No,NA,32
"January 6, 2015",Phrase,NA,NA,RAISE YOUR VOICE,H G D O,"$32,000",Yes,NA,32
"January 7, 2015",Place,NA,NA,FROG POND,P G D O,Volkwagen Beetle convertible,Yes,NA,32
"January 8, 2015",Thing,NA,NA,BALD HEAD,D P H O,"$45,000",Yes,NA,32
"January 9, 2015",Thing,NA,NA,MOUND OF PAPERWORK,M D G I,"$32,000",No,NA,32
"January 12, 2015",Phrase,NA,NA,I FOUND YOU,H D P O,"$32,000",No,NA,32
"January 13, 2015",Phrase,NA,NA,WHAT A MOUTHFUL,C M F O,"$32,000",Yes,NA,32
"January 14, 2015",Place,NA,NA,BOYHOOD HOME,C M P A,"$45,000",No,NA,32
"January 15, 2015",Things,NA,NA,DAILY FLIGHTS,M P D A,"$32,000",No,NA,32
"January 16, 2015",Thing,NA,NA,TRANQUIL WATER,G W D A Q,"$32,000",Yes,NA,32
"January 19, 2015",Thing,NA,NA,JUICER,C H M A D,"$32,000",No,NA,32
"January 20, 2015",Food & Drink,NA,NA,CHEWY TAFFY,D M W A,"$32,000",No,NA,32
"January 21, 2015",Thing,NA,NA,COMBINED WEIGHT,P M C A,"$32,000",No,NA,32
"January 22, 2015",Thing,NA,NA,WIPER FLUID,C P D O,"$32,000",Yes,NA,32
"January 23, 2015",Phrase,NA,NA,BY THE QUART,C M P O,"$32,000",No,NA,32
"January 26, 2015",Phrase,NA,NA,NICE VARIETY,P C H A,"$45,000",No,NA,32
"January 27, 2015",Thing,NA,NA,BUBBLY SOAP,M C D A,"$45,000",Yes,NA,32
"January 28, 2015",Phrase,NA,NA,FILL IN THE GAPS,P H G O,"$32,000",Yes,NA,32
"January 29, 2015",Thing,NA,NA,A WARM GLOW,D C W O,"$32,000",Yes,NA,32
"January 30, 2015",Thing,NA,NA,BLUE SKY,P C Y U,"$32,000",Yes,NA,32
"February 2, 2015",Thing,NA,NA,VINYL BOOTH,C B M O,"$32,000",No,NA,32
"February 3, 2015",Thing,NA,NA,BACKYARD GAZEBO,C D H A,"$32,000",No,NA,32
"February 4, 2015",Thing,NA,NA,WATER VAPOR,H M P A,"$32,000",Yes,NA,32
"February 5, 2015",Living Thing,NA,NA,TINY GUPPY,C D M I,"$100,000",No,NA,32
"February 6, 2015",Thing,NA,NA,LUXURY VEHICLE,D C P O,"$32,000",Yes,NA,32
"February 9, 2015",Thing,NA,NA,FOAMY LATHER,H D M I,"$45,000",No,NA,32
"February 10, 2015",Food & Drink,NA,NA,FLUFFY PANCAKES,P D M A,"$32,000",No,NA,32
"February 11, 2015",Person,NA,NA,PUBLIC OFFICIAL,P G H O,"$50,000",No,NA,32
"February 12, 2015",Thing,NA,NA,BARGAINING CHIP,C H P A,"$32,000",Yes,NA,32
"February 13, 2015",Thing,NA,NA,CLEVER PUZZLE,C D P O,"$32,000",No,NA,32
"February 16, 2015",What Are You Doing?,NA,NA,PAYING A FEW BILLS,P H G A,"$32,000",No,NA,32
"February 17, 2015",What Are You Doing?,NA,NA,PICKING UP THE KIDS,G D H A,"$50,000",No,NA,32
"February 18, 2015",Occupation,NA,NA,FACTORY WORKER,P M C O,"$32,000",Yes,NA,32
"February 19, 2015",People,NA,NA,GYM BUDDIES,M C D A,"$32,000",No,NA,32
"February 20, 2015",Event,NA,NA,HEROIC ACT,M D B O,"$32,000",No,NA,32
"February 23, 2015",Thing,NA,NA,UPHOLSTERY FABRIC,Y C P U,"$100,000",Yes,NA,32
"February 24, 2015",Things,NA,NA,PHOTOS AND VIDEOS,C F H O,"$32,000",Yes,NA,32
"February 25, 2015",What Are You Doing?,NA,NA,HOVERING,P B G O,"$32,000",Yes,NA,32
"February 26, 2015",Event,NA,NA,BUYING A HOUSE,G C M A,"$32,000",No,NA,32
"February 27, 2015",Thing,NA,NA,AUXILIARY POWER,C P B O,"$32,000",No,NA,32
"March 2, 2015",Phrase,NA,NA,HIGH IMPACT,P G C A,"$32,000",No,NA,32
"March 3, 2015",Things,NA,NA,FANCY COWBOY BOOTS,C D M A,"$32,000",No,NA,32
"March 4, 2015",Phrase,NA,NA,GIFT IDEAS FOR HIM,M B H O,"$32,000",No,NA,32
"March 5, 2015",Person,NA,NA,AVID GOLFER,C H B A,"$32,000",No,NA,32
"March 6, 2015",Phrase,NA,NA,BOGGED DOWN,P G D A,"$45,000",No,NA,32
"March 9, 2015",Phrase,NA,NA,POSITIVE VIEW,G F P O,"$32,000",No,NA,32
"March 10, 2015",Things,NA,NA,BIG PAWS,B D M A,"$32,000",No,NA,32
"March 11, 2015",Living Things,NA,NA,WILD FAUNA,D G C O,"$32,000",No,NA,32
"March 12, 2015",Phrase,NA,NA,WORTH WAITING FOR,H G F I C,"$32,000",Yes,NA,32
"March 13, 2015",Thing,NA,NA,AUTHORIZED BIOGRAPHY,D C P A,"$50,000",No,NA,32
"March 16, 2015",Thing,NA,NA,AUDIO FREQUENCY,C P M I,"$32,000",No,NA,32
"March 17, 2015",Phrase,NA,NA,THE EXACT AMOUNT,H D C O,"$32,000",No,NA,32
"March 18, 2015",Things,NA,NA,BREAKING WAVES,P H G O,"$32,000",No,NA,32
"March 19, 2015",Thing,NA,NA,GROUP PORTRAIT,C P M A,"$32,000",Yes,NA,32
"March 20, 2015",Thing,NA,NA,VALID LOGIC,D P C O,"$32,000",Yes,NA,32
"March 23, 2015",Thing,NA,NA,MAHOGANY WOOD,M P D A,"$32,000",No,NA,32
"March 24, 2015",Place,NA,NA,BUMPY PATH,D C M O,"$32,000",No,NA,32
"March 25, 2015",Phrase,NA,NA,ACHIEVE YOUR GOAL,B M D O,"$32,000",Yes,NA,32
"March 26, 2015",Thing,NA,NA,POCKET DIARY,G P H O,"$32,000",No,NA,32
"March 27, 2015",Phrase,NA,NA,BUSY WITH WORK,H G D A C,"$32,000",No,NA,32
"March 30, 2015",Phrase,NA,NA,JUMP IN THE BACK,H C G O,"$32,000",No,NA,32
"March 31, 2015",Person,NA,NA,WACKY NEIGHBOR,P H G O,"$32,000",Yes,NA,32
"April 1, 2015",Thing,NA,NA,FLOWING GOWN,G H F A,"$32,000",Yes,NA,32
"April 2, 2015",Phrase,NA,NA,WITHOUT A DOUBT,C P M A,"$1,000,000",No,NA,32
"April 3, 2015",Things,NA,NA,ZODIAC SYMBOLS,H M P A,"$45,000",No,NA,32
"April 6, 2015",Thing,NA,NA,BUG ZAPPER,D M H A,"$32,000",No,NA,32
"April 7, 2015",Phrase,NA,NA,A VERY FIRM HOLD,D P C O M,"$40,000",No,NA,32
"April 8, 2015",Thing,NA,NA,TOUGH QUIZ,H C D A,"$32,000",No,NA,32
"April 9, 2015",Phrase,NA,NA,WAY BEHIND,D B K I,"$32,000",No,NA,32
"April 10, 2015",Thing,NA,NA,ULTIMATE GUIDEBOOK,D H M O,"$32,000",No,NA,32
"April 13, 2015",Person,NA,NA,AVIATOR,M P D I,"$100,000",No,NA,32
"April 14, 2015",Thing,NA,NA,RICH FLAVOR,C G F O,"$32,000",Yes,NA,32
"April 15, 2015",Thing,NA,NA,POKER FACE,G M D I,"$32,000",No,NA,32
"April 16, 2015",Phrase,NA,NA,FIGURE OUT HOW,P H G O D,"$32,000",No,NA,32
"April 17, 2015",Phrase,NA,NA,A WHIFF OF PERFUME,P H G O,"$40,000",No,NA,32
"April 20, 2015",Thing,NA,NA,AUTOPILOT,H D C O G,"$45,000",No,NA,32
"April 21, 2015",Thing,NA,NA,THOROUGH OVERHAUL,H G M A,"$32,000",Yes,NA,32
"April 22, 2015",Things,NA,NA,HIGH-TECH GADGETS,D H B A M,"$50,000",Yes,NA,32
"April 23, 2015",Thing,NA,NA,FOOD PACKAGING,M C D A,"$32,000",No,NA,32
"April 24, 2015",Person,NA,NA,BUILDING OWNER,G C D I,"$32,000",No,NA,32
"April 27, 2015",Things,NA,NA,A FEW CHOICES,C D M A H,"$32,000",No,NA,32
"April 28, 2015",Thing,NA,NA,WISP OF HAIR,M P K O,"$45,000",Yes,NA,32
"April 29, 2015",Phrase,NA,NA,ZIPPING BY,C D M A,"$32,000",No,NA,32
"April 30, 2015",Thing,NA,NA,PROVEN VALUE,G M D I,"$32,000",No,NA,32
"May 1, 2015",Phrase,NA,NA,OVER YONDER,D B G O,"$32,000",Yes,NA,32
"May 4, 2015",People,NA,NA,YOUNG CROWD,P M G I,"$100,000",No,NA,32
"May 5, 2015",Phrase,NA,NA,WIGGLE AROUND,B D G I,"$32,000",No,NA,32
"May 6, 2015",Phrase,NA,NA,WHAT TO AVOID,M D P O,"$32,000",No,NA,32
"May 7, 2015",Phrase,NA,NA,WAVE YOUR MAGIC WAND,M D Y A,"$45,000",Yes,NA,32
"May 8, 2015",Thing,NA,NA,PATIO UMBRELLA,G D M O,"$32,000",Yes,NA,32
"May 11, 2015",Thing,NA,NA,BANDWIDTH,H C P A,"$32,000",Yes,NA,32
"May 12, 2015",Phrase,NA,NA,AWFULLY KIND,D M P A,"$40,000",No,NA,32
"May 13, 2015",Phrase,NA,NA,PHASED OUT,P M D A C,"$40,000",Yes,NA,32
"May 14, 2015",Person,NA,NA,POWERFUL TYCOON,C D P A,"$32,000",No,NA,32
"May 15, 2015",Thing,NA,NA,HOURLY FORECAST,D M C O,"$32,000",No,NA,32
"May 18, 2015",Phrase,NA,NA,GO VIRAL,M D C I G,"$50,000",No,NA,32
"May 19, 2015",Phrase,NA,NA,APPLY FOR A JOB,D M P A,"$32,000",No,NA,32
"May 20, 2015",Phrase,NA,NA,DIVE RIGHT IN,C M D O,"$32,000",No,NA,32
"May 21, 2015",Phrase,NA,NA,ZOOM OUT,P H G O,"$32,000",No,NA,32
"May 22, 2015",Thing,NA,NA,OVERHEAD LIGHT,G P B I,"$32,000",No,NA,32
"May 25, 2015",Phrase,NA,NA,SWOOPING DOWN,D P M I,"$45,000",No,NA,32
"May 26, 2015",Phrase,NA,NA,WHAT A BUSYBODY,C D H A,"$32,000",No,NA,32
"May 27, 2015",Thing,NA,NA,AN OLD MYTH,D M W O,"$32,000",No,NA,32
"May 28, 2015",Thing,NA,NA,STRIPED AWNING,G D P I,"$32,000",Yes,NA,32
"May 29, 2015",Thing,NA,NA,GLOBAL MAP,H D F U,"$32,000",No,NA,32
"June 1, 2015",People,NA,NA,ADVISORY BOARD,D P C O,"$32,000",Yes,NA,32
"June 2, 2015",Thing,NA,NA,WORLDWIDE PHENOMENON,C D M A,"$32,000",Yes,NA,32
"June 3, 2015",Phrase,NA,NA,WITHIN THE HOUR,H M Y O,"$32,000",Yes,NA,32
"June 4, 2015",Phrase,NA,NA,PROPER USAGE,P G C U,"$32,000",Yes,NA,32
"June 5, 2015",Person,NA,NA,HIGHEST BIDDER,P C B I,"$45,000",Yes,NA,32
"June 8, 2015",Thing,NA,NA,OBVIOUS ANSWER,G H C A M,"$32,000",No,NA,32
"June 9, 2015",Fun & Games,NA,NA,BUMPER POOL,D F M O,"$32,000",Yes,NA,32
"June 10, 2015",Thing,NA,NA,PROBABILITY,P H G O,"$32,000",Yes,NA,32
"June 11, 2015",Phrase,NA,NA,DABBLE IN THE KITCHEN,C M P A,"$32,000",No,NA,32
"June 12, 2015",Phrase,NA,NA,TOO MUCH HYPE,H G P O,"$32,000",Yes,NA,32
"September 14, 2015",Thing,NA,NA,YUMMY RECIPE,D M C A,"$33,000",Yes,NA,33
"September 15, 2015",Phrase,NA,NA,JUST SHOWING OFF,C P G O,"$33,000",No,NA,33
"September 16, 2015",Thing,NA,NA,AVIATOR JACKET,P G H O,"$33,000",No,NA,33
"September 17, 2015",Thing,NA,NA,HOURLY UPDATE,P D M A,"$33,000",Yes,NA,33
"September 18, 2015",Thing,NA,NA,MUGGY NIGHT,G H M I,"$33,000",Yes,NA,33
"September 21, 2015",Phrase,NA,NA,I JUMPED FOR JOY,C D F A,Jeep Cherokee Latitude,No,NA,33
"September 22, 2015",Phrase,NA,NA,QUICK TURNAROUND,G D H O,Jeep Cherokee Latitude,No,NA,33
"September 23, 2015",Phrase,NA,NA,HI FOLKS,M Y G O,"$40,000",No,NA,33
"September 24, 2015",Thing,NA,NA,GLOWING REVIEW,G P H O,"$33,000",No,NA,33
"September 25, 2015",Thing,NA,NA,SWAYING HAMMOCK,G H C I,Jeep Cherokee Latitude,No,NA,33
"September 28, 2015",Living Thing,NA,NA,FAITHFUL DOG,H C D A P,"$33,000",Yes,NA,33
"September 29, 2015",Thing,NA,NA,OVERSIZED WATCH,C H G A Y,Winnebago,No,NA,33
"September 30, 2015",People,NA,NA,YOUNG HOMEBUYERS,C D M O,"$33,000",No,NA,33
"October 1, 2015",Things,NA,NA,VACUUM-PACKED BAGS,D C H A,"$33,000",No,NA,33
"October 2, 2015",Thing,NA,NA,FULL COOKIE JAR,G H C O,"$33,000",No,NA,33
"October 5, 2015",Living Things,NA,NA,PINK DAFFODILS,P C D I,"$33,000",Yes,NA,33
"October 6, 2015",Thing,NA,NA,DAILY JOURNAL,C M H A,"$33,000",No,NA,33
"October 7, 2015",Food & Drink,NA,NA,FUJI APPLE,G H P O,"$45,000",Yes,NA,33
"October 8, 2015",Thing,NA,NA,BARITONE VOICE,D M P I,"$33,000",No,NA,33
"October 9, 2015",What Are You Doing?,NA,NA,WAXING MY CAR,G D C I,"$33,000",No,NA,33
"October 12, 2015",Thing,NA,NA,OAK BOOKCASE,M G P O H,"$33,000",No,NA,33
"October 13, 2015",Phrase,NA,NA,WOVEN TOGETHER,P G H O,Chevrolet Camaro,No,NA,33
"October 14, 2015",Thing,NA,NA,UNIQUE POINT OF VIEW,M H W A,"$33,000",No,NA,33
"October 15, 2015",Thing,NA,NA,VIDEO BLOG,D C P I,Chevrolet Camaro,No,NA,33
"October 16, 2015",Thing,NA,NA,PAGEANT GOWN,G H P O,"$40,000",Yes,NA,33
"October 19, 2015",Phrase,NA,NA,KEEP PUSHING FORWARD,C G Y O,"$33,000",No,NA,33
"October 20, 2015",Phrase,NA,NA,I PLAYED A HUNCH,G P D A B,"$50,000",No,NA,33
"October 21, 2015",Thing,NA,NA,MAXIMUM AMOUNT,C D M O,"$33,000",Yes,NA,33
"October 22, 2015",Thing,NA,NA,UNBIASED OPINION,D M H O,"$33,000",No,NA,33
"October 23, 2015",Thing,NA,NA,A HUGE GAMBLE,C H P O,"$33,000",No,NA,33
"October 26, 2015",Food & Drink,NA,NA,BAKED SQUASH,H M D I,"$33,000",No,NA,33
"October 27, 2015",Place,NA,NA,CLUBHOUSE,P B C O,Mini Cooper,Yes,NA,33
"October 28, 2015",Phrase,NA,NA,I ADMIRE YOU,C D M A,"$45,000",Yes,NA,33
"October 29, 2015",Thing,NA,NA,VALUABLE IDEA,C P D O,"$33,000",No,NA,33
"October 30, 2015",Thing,NA,NA,YOUNG ADULT FICTION,G Q P I,"$45,000",No,NA,33
"November 2, 2015",Thing,NA,NA,HIGH VELOCITY,P H D A,"$50,000",Yes,NA,33
"November 3, 2015",Thing,NA,NA,BIG PAYCHECK,D M H I G,"$40,000",No,NA,33
"November 4, 2015",Thing,NA,NA,GIGABYTE,M P G A,"$33,000",No,NA,33
"November 5, 2015",Thing,NA,NA,YOUR DAY JOB,Y C D O,"$33,000",No,NA,33
"November 6, 2015",Thing,NA,NA,QUICK GUIDE,G P H O,"$33,000",No,NA,33
"November 9, 2015",Thing,NA,NA,FILM FOOTAGE,C D P I,"$33,000",No,NA,33
"November 10, 2015",Phrase,NA,NA,BY APPOINTMENT,H M C O,"$33,000",No,NA,33
"November 11, 2015",Living Thing,NA,NA,SOARING HAWK,P B D O,"$40,000",No,NA,33
"November 12, 2015",What Are You Doing?,NA,NA,WARMING UP THE OVEN,P H G O,Ford C-Max Hybrid,No,NA,33
"November 13, 2015",Thing,NA,NA,HOT BATH,M C P A,"$33,000",Yes,NA,33
"November 16, 2015",Thing,NA,NA,HAPPY CHILDHOOD,D C M A,"$40,000",Yes,NA,33
"November 17, 2015",What Are You Doing?,NA,NA,VACUUMING THE HOUSE,D H C A F,"$33,000",No,NA,33
"November 18, 2015",Thing,NA,NA,FROZEN ICE PACK,G P M I,"$33,000",No,NA,33
"November 19, 2015",Things,NA,NA,MORNING DEWDROPS,M G C O,"$33,000",No,NA,33
"November 20, 2015",Thing,NA,NA,A WORKING MODEL,C H M A,"$33,000",No,NA,33
"November 23, 2015",Thing,NA,NA,PHILANTHROPY,D G C A,"$33,000",Yes,NA,33
"November 24, 2015",Phrase,NA,NA,HAVE SOME FUN,C D M O P,"$33,000",Yes,NA,33
"November 25, 2015",Phrase,NA,NA,OVERWHELMING FAVORITE,C D M I,Jeep Wrangler,No,NA,33
"November 26, 2015",What Are You Doing?,NA,NA,CHOOSING A MAJOR,P G H O D,"$45,000",No,NA,33
"November 27, 2015",Thing,NA,NA,PORCH AWNING,D M H A,"$40,000",No,NA,33
"November 30, 2015",Thing,NA,NA,PHOTOGRAPHY EXHIBIT,M H C O,"$33,000",Yes,NA,33
"December 1, 2015",Thing,NA,NA,PROFITABILITY,C M G U H,"$33,000",No,NA,33
"December 2, 2015",What Are You Doing?,NA,NA,WAITING ANXIOUSLY,G Y C I,"$40,000",Yes,NA,33
"December 3, 2015",Food & Drink,NA,NA,FLAVORFUL APPETIZER,F P G A,"$33,000",Yes,NA,33
"December 4, 2015",Thing,NA,NA,VOCAL HARMONY,P F G O,"$33,000",No,NA,33
"December 7, 2015",Thing,NA,NA,PUFFY JACKET,D M P O,"$33,000",No,NA,33
"December 8, 2015",Phrase,NA,NA,BUSY WITH HOUSEWORK,P C D A,"$33,000",No,NA,33
"December 9, 2015",Phrase,NA,NA,AHEAD OF THE PACK,F P D A,"$33,000",Yes,NA,33
"December 10, 2015",Phrase,NA,NA,WHAT A CRAZY DAY,H M P A,Fiat 500C,No,NA,33
"December 11, 2015",Thing,NA,NA,FANCY HANDBAG,G B M O,"$33,000",No,NA,33
"December 14, 2015",Thing,NA,NA,UTILITY VEHICLE,H B M I,"$33,000",No,NA,33
"December 15, 2015",Phrase,NA,NA,DOWNRIGHT HYSTERICAL,B C D I,"$33,000",Yes,NA,33
"December 16, 2015",Thing,NA,NA,POPULAR OPTION,G M P O,Ford Flex,Yes,NA,33
"December 17, 2015",What Are You Doing?,NA,NA,JOINING A BOOK CLUB,C D M I,"$45,000",No,NA,33
"December 18, 2015",Things,NA,NA,BASIC QUALIFICATIONS,P C M I,"$33,000",No,NA,33
"December 21, 2015",Phrase,NA,NA,POP OPEN THE HOOD,H P D A,"$33,000",Yes,NA,33
"December 22, 2015",Phrase,NA,NA,ON MY WAY HOME,M C D I,"$33,000",Yes,NA,33
"December 23, 2015",Phrase,NA,NA,HOT AND JUICY,D H M A,"$100,000",No,NA,33
"December 24, 2015",Thing,NA,NA,WITTY JOKE,C D M O,Nissan Rogue,No,NA,33
"December 25, 2015",Thing,NA,NA,PRIVACY POLICY,M D B A,"$45,000",No,NA,33
"December 28, 2015",Thing,NA,NA,GUST OF AIR,H M C A,Volkswagen Beetle convertible,No,NA,33
"December 29, 2015",Thing,NA,NA,A PACKAGE IN YOUR MAILBOX,P H G O,"$33,000",No,NA,33
"December 30, 2015",What Are You Doing?,NA,NA,UPDATING MY WEBSITE,G P H O,Ford C-Max Hybrid,No,NA,33
"December 31, 2015",What Are You Doing?,NA,NA,DOWNLOADING A VIDEO,C D G I,Nissan Rogue,Yes,NA,33
"January 1, 2016",Phrase,NA,NA,I GOT A KICK OUT OF IT,H G B A C,"$33,000",No,NA,33
"January 4, 2016",What Are You Doing?,NA,NA,BOOKING MY OWN FLIGHT,G M F I,"$33,000",No,NA,33
"January 5, 2016",Thing,NA,NA,DISCIPLINED APPROACH,H M P O,"$33,000",Yes,NA,33
"January 6, 2016",Things,NA,NA,A BUNCH OF COPIES,G D P O,"$33,000",No,NA,33
"January 7, 2016",Thing,NA,NA,ACADEMIC PROGRAM,C H G O,Jeep Compass,No,NA,33
"January 8, 2016",Thing,NA,NA,BIDDING WAR,B D M O,"$33,000",No,NA,33
"January 11, 2016",Place,NA,NA,OFFICE PARK,C K H A,"$50,000",No,NA,33
"January 12, 2016",Thing,NA,NA,HUGE YACHT,H M G I,"$33,000",No,NA,33
"January 13, 2016",Phrase,NA,NA,QUITE A HAUL,H P D A,"$33,000",Yes,NA,33
"January 14, 2016",Thing,NA,NA,HOLIDAY WREATH,C P D A,"$33,000",No,NA,33
"January 15, 2016",What Are You Doing?,NA,NA,PAYING IT FORWARD,C D B A,"$50,000",No,NA,33
"January 18, 2016",What Are You Doing?,NA,NA,FILLING MY QUOTA,Y F D A,"$40,000",No,NA,33
"January 19, 2016",Thing,NA,NA,PIGEONHOLE,C P G A,"$33,000",No,NA,33
"January 20, 2016",Phrase,NA,NA,MIX THINGS UP,H P C I,"$33,000",No,NA,33
"January 21, 2016",What Are You Doing?,NA,NA,BROWSING THE AISLES,C G H I,"$50,000",No,NA,33
"January 22, 2016",Thing,NA,NA,JOINT VENTURE,G D F U,"$33,000",No,NA,33
"January 25, 2016",Thing,NA,NA,YOUR IMAGINATION,C H D A,"$33,000",Yes,NA,33
"January 26, 2016",Phrase,NA,NA,JUST ABOVE A WHISPER,F C D A,"$33,000",No,NA,33
"January 27, 2016",Phrase,NA,NA,WAITING FOR HOURS,F H D O,"$40,000",No,NA,33
"January 28, 2016",Things,NA,NA,CARDBOARD BOXES,P H G O,"$40,000",No,NA,33
"January 29, 2016",Phrase,NA,NA,BY THE BOOK,D H F I,"$33,000",No,NA,33
"February 1, 2016",Thing,NA,NA,DYNAMIC VOICE,C P M O,Ford Mustang convertible,No,NA,33
"February 2, 2016",Person,NA,NA,AMAZING PIANIST,G D P O,"$33,000",No,NA,33
"February 3, 2016",Phrase,NA,NA,ON OUR WAY TO THE GYM,F H C I,"$33,000",No,NA,33
"February 4, 2016",Thing,NA,NA,FLOPPY HAT,C H D A,"$33,000",No,NA,33
"February 5, 2016",Phrase,NA,NA,OVER THE HUMP,H V P O,"$33,000",No,NA,33
"February 8, 2016",Person,NA,NA,PROUD OWNER,P D I M,"$33,000",Yes,NA,33
"February 9, 2016",Thing,NA,NA,FUDGE BROWNIE RECIPE,D M G A,"$33,000",Yes,NA,33
"February 10, 2016",Phrase,NA,NA,IN GOOD COMPANY,P D O M,"$33,000",Yes,NA,33
"February 11, 2016",Things,NA,NA,PACKAGING SUPPLIES,D M C I,"$33,000",No,NA,33
"February 12, 2016",Thing,NA,NA,CHILLY OCEAN WIND,Y D M A,"$33,000",No,NA,33
"February 15, 2016",Phrase,NA,NA,SHAKE OFF THE COBWEBS,M G P O,"$33,000",No,NA,33
"February 16, 2016",Thing,NA,NA,HEROIC JOURNEY,C D P O,"$33,000",No,NA,33
